star,title,quote,num,link,article
9.2,"

    百年孤独


    

  ",《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。... ,"
        (112161人评价)
    ",https://book.douban.com/subject/6082808/,"
        
  
  [哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元

      "
8.9,"

    巨人的陨落


    
      ,

  ",在第一次世界大战的硝烟中，每一个迈向死亡的生命都在热烈地生长——威尔士的矿工少年、刚失恋的美国法律系大学生、穷困潦倒的俄国兄弟、富有英俊的英格兰伯爵，以及痴... ,"
        (22668人评价)
    ",https://book.douban.com/subject/26698660/,"
        
  
  [英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元

      "
8.8,"

    追风筝的人


    

  ",12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟... ,"
        (279343人评价)
    ",https://book.douban.com/subject/1770782/,"
        
  
  [美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元

      "
9.3,"

    1984


    

  ","★村上春树以《1Q84》向本书致敬
★著名学者刘绍铭经典译本内地首次出版
★62种文字风靡110个国家，全球销量超过5000万册
★《时代周刊》“最好的10... ","
        (36381人评价)
    ",https://book.douban.com/subject/4820710/,"
        
  
  [英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00

      "
9.2,"

    新名字的故事


    
      ,

  ","只有你身为女人 才会知道这些丑陋的秘密
两个女人 50年的友谊和战争
如何成为那个更强大的她，又不被她战胜
那不勒斯四部曲NO.2
《我的天才女友》后续， ... ","
        (2214人评价)
    ",https://book.douban.com/subject/26986954/,"
        
  
  [意]埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-4 / 59.00元

      "
8.6,"

    雪落香杉树


    

  ","编辑推荐:
1995福克纳奖得主
占据《纽约时报》畅销榜首数月
美国书商协会年度之选
被译成30余种文字，全球畅销500万册
当代美国文学史上罕见的超级畅销... ","
        (599人评价)
    ",https://book.douban.com/subject/5431784/,"
        
  
  [美] 戴维·伽特森 / 熊裕 / 作家出版社 / 2017-6 / 52.00元

      "
8.8,"

    二手时间


    

  ","2015年度诺贝尔文学奖得主阿列克谢耶维奇最具分量的作品
发表后荣获德国书业和平奖（2013）、法国美第契散文奖（2013）、俄罗斯「大书奖」读者票选最佳文... ","
        (4947人评价)
    ",https://book.douban.com/subject/26704403/,"
        
  
  [白俄] S.A.阿列克谢耶维奇 / 吕宁思 / 中信出版社 / 2016-1 / 55.00元

      "
9.1,"

    鱼王


    

  ",长篇小说《鱼王》是阿斯塔菲耶夫最具个性的一部代表作，俄罗斯当代文学的经典。全书由十三个内容相对独立的“叙事短篇小说”组成，全部围绕着人与自然的关系，深入细致... ,"
        (626人评价)
    ",https://book.douban.com/subject/26853356/,"
        
  
  [俄] 维克托·阿斯塔菲耶夫 / 夏仲翼 等 / 理想国 | 广西师范大学出版社 / 2017-4 / 78.00元

      "
8.3,"

    外婆的道歉信


    

  ","内容简介：
七岁的爱莎有个古怪又疯狂的外婆，会埋伏在雪堆里吓唬邻居，把重要的事情记在墙上因为墙不会丢，半夜从医院溜出来带着爱莎翻进动物园，在阳台上用彩弹枪射... ","
        (3086人评价)
    ",https://book.douban.com/subject/27029890/,"
        
  
  [瑞典] 弗雷德里克·巴克曼 / 孟汇一 / 天津人民出版社 / 2017-5 / 42.00元

      "
8.6,"

    囚鸟


    

  ","我们都是受困于时代的“囚鸟”——既渴望逃离，又踟蹰不前。
联邦最低限度安保措施成人改造所里，颓唐的小老头儿瓦尔特•斯代布克正在等待领他出狱的狱卒。
在他过去... ","
        (1130人评价)
    ",https://book.douban.com/subject/27045888/,"
        
  
  [美] 库尔特·冯内古特 / 董乐山 / 百花洲文艺出版社 / 2017-6 / 38.00元

      "
8.9,"

    霍乱时期的爱情


    

  ","★马尔克斯唯一正式授权，首次完整翻译
★《霍乱时期的爱情》是我最好的作品，是我发自内心的创作。——加西亚•马尔克斯
★这部光芒闪耀、令人心碎的作品是人类有史... ","
        (59399人评价)
    ",https://book.douban.com/subject/10594787/,"
        
  
  [哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元

      "
8.9,"

    月亮和六便士


    

  ",一个英国证券交易所的经纪人，本已有牢靠的职业和地位、美满的家庭，但却迷恋上绘画，像“被魔鬼附了体”，突然弃家出走，到巴黎去追求绘画的理想。他的行径没有人能够... ,"
        (68864人评价)
    ",https://book.douban.com/subject/1858513/,"
        
  
  [英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2006-8 / 15.00元

      "
9.2,"

    杀死一只知更鸟


    

  ",成长总是个让人烦恼的命题。成长有时会很缓慢，如小溪般唱着叮咚的歌曲趟过，有时却如此突如其来，如暴雨般劈头盖脸……三个孩子因为小镇上的几桩冤案经历了猝不及防的... ,"
        (12312人评价)
    ",https://book.douban.com/subject/6781808/,"
        
  
  [美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元

      "
9.1,"

    世界的凛冬


    
      ,

  ","我亲眼目睹，每一个迈向死亡的生命都在热烈地生长。
全球读者平均3个通宵读完的超级小说《巨人的陨落》的续篇！
火遍全球的20世纪人类史诗“世纪三部曲”第二部。... ","
        (7548人评价)
    ",https://book.douban.com/subject/26957760/,"
        
  
  [英] 肯·福莱特 / 陈杰 / 江苏凤凰文艺出版社 / 2017-3-1 / 132.00（全三册）

      "
9.0,"

    活着为了讲述


    

  ","一生中总会遇到一本书，奠定你人生的基调。
★《百年孤独》作者马尔克斯唯一自传
生活不是我们活过的日子，而是我们记住的日子，我们为了讲述而在记忆中重现的日子。... ","
        (2478人评价)
    ",https://book.douban.com/subject/26657570/,"
        
  
  [哥伦比亚] 加西亚·马尔克斯 / 李静 / 南海出版公司 / 2016-4-1 / 55.00元

      "
8.8,"

    斯通纳


    

  ","《斯通纳》讲述了生命中最重要的部分：爱，认同，怜悯，志业，傲骨，信任与死亡。
一个勇者有过的失败不失意的人生：即使不能拥有完美的生活，所幸追求过完整的自我。... ","
        (12307人评价)
    ",https://book.douban.com/subject/26425831/,"
        
  
  [美] 约翰·威廉斯 / 杨向荣 / 世纪文景/上海人民出版社 / 2016-1 / 39.00元

      "
9.3,"

    飘


    

  ",小说中的故事发生在1861年美国南北战争前夕。生活在南方的少女郝思嘉从小深受南方文化传统的熏陶，可在她的血液里却流淌着野性的叛逆因素。随着战火的蔓廷和生活环... ,"
        (77170人评价)
    ",https://book.douban.com/subject/1068920/,"
        
  
  [美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元

      "
8.3,"

    戴上手套擦泪


    
      ,

  ","★ 北欧版《霍乱时期的爱情》
★ 作者乔纳斯‧嘉德尔因为此书获选为年度风云人物，由瑞典王储亲自颁奖
★ 同名影集击败《冰与火之歌》荣膺欧洲电视大奖，豆瓣评分... ","
        (603人评价)
    ",https://book.douban.com/subject/27006492/,"
        
  
  [瑞典] 乔纳斯·嘉德尔 / 郭腾坚 / 甘肃人民美术出版社 / 2017-5 / 38

      "
8.5,"

    我的天才女友


    
      ,

  ","只有你身为女人才会知道这些丑陋的秘密
两个女人，50年的友谊和战争
过去五年，几乎所有欧美读者都在谈论她、
全球畅销百万册 被翻译成40种语言
《金融时报》... ","
        (4263人评价)
    ",https://book.douban.com/subject/26878124/,"
        
  
  [意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元

      "
9.0,"

    灯塔


    

  ","若未知的世界让人心生恐惧，
我们是自我封闭，还是勇敢走出去？
欧洲著名漫画诗人夏布特
最敏感忧伤的“慢镜头图像小说”
讲述人类心底无法承受的孤独和渴望拥有的... ","
        (2579人评价)
    ",https://book.douban.com/subject/26695174/,"
        
  
  [法] 克里斯多夫·夏布特 / 吕俊君 / 北京联合出版公司·后浪出版公司 / 2016-2 / 128.00元

      "
9.0,"

    局外人


    

  ",《局外人》是加缪小说的成名作和代表作之一，堪称20世纪整个西方文坛最具有划时代意义最著名小说之一，“局外人”也由此成为整个西方文学-哲学中最经典的人物形象和... ,"
        (27238人评价)
    ",https://book.douban.com/subject/4908885/,"
        
  
  [法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-9 / 22.00元

      "
8.4,"

    最后的精灵


    
      ,

  ","每个人心中都有一个最后的精灵
迫不及待想与最爱的人分享的故事
欧洲当世唯一可与《小王子》媲美的生命寓言
意大利、法国、日本三国诺贝尔文学奖获得者温馨分享的成... ","
        (1474人评价)
    ",https://book.douban.com/subject/3823070/,"
        
  
  希瓦娜‧达玛利 / 景翔 / 河南文艺出版社 / 2009-7 / 26.80元

      "
9.0,"

    刀锋


    

  ","威廉·萨默塞特·毛姆（1874-1965），英国著名小说家、戏剧家。《刀锋》是他的主要作品之一。
小说写一个参加第一次世界大战的美国青年飞行员拉里·达雷尔。... ","
        (25442人评价)
    ",https://book.douban.com/subject/2035162/,"
        
  
  [英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元

      "
9.4,"

    贝伦与露西恩


    

  ","《霍比特人》《魔戒》作者毕生所寄 世间最美的爱情诗篇
1917“一战”索姆河战场归来J.R.R.托尔金潜心动笔创世中洲
2017 克里斯托弗·托尔金以父母爱... ","
        (117人评价)
    ",https://book.douban.com/subject/27035185/,"
        
  
  [英] J.R.R. 托尔金 著、[英] 克里斯托弗·托尔金 编、[英] 艾伦·李 图 / 石中歌、杜蕴慈、邓嘉宛 / 世纪文景/上海人民出版社 / 2017-6 / 69.80元

      "
9.3,"

    卡拉马佐夫兄弟


    

  ",老卡拉马佐夫贪婪好色，独占妻子留给儿子们的遗产，并与长子德米特里为一个风流女子争风吃醋。一天黑夜，德米特里疑心自己的情人去跟老头儿幽会，便闯入家园，一怒之下... ,"
        (7042人评价)
    ",https://book.douban.com/subject/1856494/,"
        
  
  [俄]陀思妥耶夫斯基 / 荣如德 / 上海译文出版社 / 2006-8 / 25.00

      "
8.5,"

    不能承受的生命之轻


    

  ",《不能承受的生命之轻》是米兰·昆德拉最负盛名的作品。小说描写了托马斯与特丽莎、萨丽娜之间的感情生活。但它不是一个男人和两个女人的三角性爱故事，它是一部哲理小... ,"
        (134032人评价)
    ",https://book.douban.com/subject/1017143/,"
        
  
  [捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元

      "
8.7,"

    醒来的女性


    

  ","我们来认识一下米拉。
她是一位喜爱读书的小镇女孩，从小就是个独立而聪明的孩子。她十四岁读尼采和潘恩，开学第一天就学完了全部课本，学校只得让她跳级。可这是二十... ","
        (235人评价)
    ",https://book.douban.com/subject/27042344/,"
        
  
  [美] 玛丽莲·弗伦奇 / 余莉 / 北京联合出版公司 / 2017-7 / 90

      "
9.0,"

    小王子


    

  ",小王子是一个超凡脱俗的仙童，他住在一颗只比他大一丁点儿的小行星上。陪伴他的是一朵他非常喜爱的小玫瑰花。但玫瑰花的虚荣心伤害了小王子对她的感情。小王子告别小行... ,"
        (223260人评价)
    ",https://book.douban.com/subject/1084336/,"
        
  
  [法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元

      "
8.3,"

    黎明破晓的世界


    
      ,

  ","【编辑推荐】
.
★《光荣与梦想》作者、美国著名通俗历史学家 威廉·曼彻斯特
唯一一部关于中世纪历史之有力著作
.
★美国国家畅销书
《纽约时报》畅销书
彭... ","
        (377人评价)
    ",https://book.douban.com/subject/27026379/,"
        
  
  [美] 威廉·曼彻斯特 / 张晓璐、罗志强 / 悦读名品 | 化学工业出版社 / 2017-6-1 / 98.00元

      "
8.2,"

    恋情的终结


    

  ",二战期间的英国伦敦，作家莫里斯爱上公务员亨利的妻子萨拉。一次意外事件导致萨拉不辞而别， 莫里斯在恨和嫉妒中度过了两年。两年后 ，他们再次相遇，当初那段感情中... ,"
        (3352人评价)
    ",https://book.douban.com/subject/26279019/,"
        
  
  [英] 格雷厄姆·格林 / 柯平 / 江苏凤凰文艺出版社 / 2017-4 / 58.00元

      "
8.6,"

    你一生的故事


    
      ,

  ","一瞥之下，过去与未来轰轰然同时并至，
我的意识成为长达半个世纪的灰烬，时间未至已成灰。
五十年诸般纷纭并发眼底，我的余生尽在其中。
还有，你的一生。
《你一... ","
        (9145人评价)
    ",https://book.douban.com/subject/26295448/,"
        
  
  [美] 特德·姜 / 李克勤、王荣生、姚向辉 / 译林出版社 / 2015-5 / 36.00元

      "
8.3,"

    吃鲷鱼让我打嗝


    

  ","演员×剧作家×小说家、导演×制片×编剧
杰西•艾森伯格
首部短篇小说集、同名美剧拍摄中
《吃鲷鱼让我打嗝》是杰西•艾森伯格创作的首部短篇小说集。全书以“吃鲷... ","
        (1000人评价)
    ",https://book.douban.com/subject/26893260/,"
        
  
  [美] 杰西·艾森伯格 / 吴文忠 / 人民文学出版社 / 2017-4 / 49.00

      "
8.9,"

    欢迎来到猴子馆


    

  ","【编辑推荐】
★冯内古特重要短篇小说集之一，问世50年首次引进中文版；楚尘文化“冯内古特黑色幽默作品系列”2017年重磅推出。
★ 村上春树、多丽丝·莱辛、... ","
        (115人评价)
    ",https://book.douban.com/subject/27068817/,"
        
  
  [美] 库尔特·冯内古特 / 王宇光 / 中信出版集团/楚尘文化 / 2017-7-20 / 48.00元

      "
9.0,"

    人生的枷锁


    

  ","《人生的枷锁》是毛姆的代表作，具有明显的自传色彩。
小说主人公菲利普·凯里自幼父母双亡，不幸又先天残疾，在冷漠而陌生的环境中度过了童年，性格因此孤僻而敏感。... ","
        (11663人评价)
    ",https://book.douban.com/subject/2035171/,"
        
  
  [英] 毛姆 / 张柏然、张增健、倪俊 / 上海译文出版社 / 2007-3 / 32.00元

      "
8.8,"

    看不见的城市


    

  ",《看不见的城市》的第一版是在1972年11月由都灵的埃伊纳乌迪出版社出版的。在这本书出版的时候，从1972年底到1973年初，卡尔维诺曾在多家报纸的文章和访... ,"
        (26216人评价)
    ",https://book.douban.com/subject/1863930/,"
        
  
  [意大利]伊塔洛·卡尔维诺 / 张宓 / 译林出版社 / 2006-8 / 16.00元

      "
8.8,"

    方向


    

  ","欧洲艺术漫画奇才马修全新烧脑神作
图像小说内容和形式上的双重突破
智力与想象力的乐趣背后，是深刻的哲学探讨
...................
※编辑推... ","
        (667人评价)
    ",https://book.douban.com/subject/26975609/,"
        
  
  [法] 马克-安托万·马修 / 后浪漫（编译） / 后浪丨北京联合出版公司 / 2017-4 / 99.80元

      "
8.3,"

    被仰望与被遗忘的


    

  ","新新闻主义之父 盖伊·特立斯 初试啼声，即成经典
20世纪最伟大的非虚构书写 全世界特稿写作者的典范
每个匆匆行走在城市中的人，都有一身故事：歌星辛纳屈 玛... ","
        (554人评价)
    ",https://book.douban.com/subject/26818878/,"
        
  
  [美] 盖伊·特立斯 / 范晓彬、姜伊敏 / 上海人民出版社 / 2017-3 / 65.00元

      "
9.2,"

    动物农场


    

  ","《动物农场》是奥威尔最优秀的作品之一，是一则入木三分的反乌托的政治讽喻寓言。
农场的一群动物成功地进行了一场“革命”，将压榨他们的人类东家赶出农场，建立起一... ","
        (31241人评价)
    ",https://book.douban.com/subject/2035179/,"
        
  
  [英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元

      "
9.1,"

    一个叫欧维的男人决定去死


    

  ",看哭全北欧的瑞典票房冠军电影同名原著小说，韩国治愈系男神池昌旭温情推荐，直言本书令人感到幸福，热销瑞典，席卷欧洲，2016年，这个屌炸天的瑞典老头更是征服了... ,"
        (7104人评价)
    ",https://book.douban.com/subject/26672693/,"
        
  
  [瑞典] 弗雷德里克·巴克曼 / 宁蒙 / 四川文艺出版社 / 2015-12 / 35.00元

      "
8.1,"

    永恒的边缘


    
      ,

  ","“世纪三部曲”终于迎来了一个完美结局。
《永恒的边缘》是《巨人的陨落》的大结局！火遍全球的20世纪人类史诗“世纪三部曲”的第三部。我亲眼目睹，每一个迈向死亡... ","
        (2252人评价)
    ",https://book.douban.com/subject/27025715/,"
        
  
  [英] 肯·福莱特 / 陈杰 / 江苏凤凰文艺出版社 / 2017-5 / 168.00（全三册）

      "
8.5,"

    我脑袋里的怪东西


    

  ","◆ 诺贝尔文学奖得主、《我的名字叫红》《伊斯坦布尔》作者奥尔罕•帕慕克 蛰伏六年动情写就 全球60个语种正在流行。
◆斩获诺奖之后还能写出自己的最佳作品，帕... ","
        (2002人评价)
    ",https://book.douban.com/subject/26701959/,"
        
  
  [土耳其] 奥尔罕·帕慕克 / 陈竹冰 / 上海人民出版社 / 2016-2 / 49.00元

      "
8.8,"

    万物有灵且美


    

  ","“活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事。大自然的真实面貌，比起诗人所能描摹的境界，更要美上千百倍。”
把追车当做一门艺术的狗，策划群猫暴... ","
        (15034人评价)
    ",https://book.douban.com/subject/4187411/,"
        
  
  [英] 吉米·哈利 / 种衍伦 / 中国城市出版社 / 2010-1 / 28.80

      "
8.5,"

    不属于我们的世纪


    

  ",艾琳·图穆蒂自小跟随她的爱尔兰移民父母生活在皇后区伍德赛德的一间公寓里。长期的艰困生活，让她一心想要彻底摆脱这个弥漫着喧闹和心酸的地方，去创造属于自己的一切... ,"
        (1400人评价)
    ",https://book.douban.com/subject/26831234/,"
        
  
  [美] 马修·托马斯 / 黄瑶 / 广西科学技术出版社 / 2016-9-1 / 46.00元

      "
8.7,"

    幽灵


    

  ","▶ 两个孤独少年 × 一位孤勇警探，如父如子的亲情，失而复得的挚爱，触不可及的未来
▶全球销量突破3300万册，北欧悬疑小说天王尤•奈斯博《猎豹》之后再创销... ","
        (554人评价)
    ",https://book.douban.com/subject/27042830/,"
        
  
  [挪] 尤·奈斯博 / 林立仁 / 湖南文艺出版社 / 2017-6-10 / 42.00元

      "
8.5,"

    毒木圣经


    

  ","★《百年孤独》之后，你为这样一部小说等了多久？
★既是饱满细腻的家庭史诗，又是磅礴锐利的历史寓言。发生在某时某地，却包罗万象。
★我们都很无知，但并非真正无... ","
        (776人评价)
    ",https://book.douban.com/subject/26630480/,"
        
  
  [美] 芭芭拉·金索沃 / 张竝 / 南海出版公司 / 2017-3 / 59.00元

      "
9.1,"

    肖申克的救赎


    

  ",这本书收入斯蒂芬·金的四部中篇小说，是他作品中的杰出代表作。其英文版一经推出，即登上《纽约时报》畅销书排行榜的冠军之位，当年在美国狂销二十八万册。目前，这本... ,"
        (37596人评价)
    ",https://book.douban.com/subject/1829226/,"
        
  
  [美] 斯蒂芬·金 / 施寄青、赵永芬、齐若兰 / 人民文学出版社 / 2006-7 / 29.90元

      "
7.9,"

    可怕的中年(全10册)


    
      ,

  ",每本56页的小手册用英式幽默诠释成年人的世界。挣扎在面包与爱情生死线上的成年人或许更需要一种犀利而敏捷的话语刺探工作、生活背后的本质，在自嘲和调侃中释放压力... ,"
        (208人评价)
    ",https://book.douban.com/subject/27052521/,"
        
  
  [英] 贾森·黑兹利、[英] 乔尔·莫里斯 / 晏向阳 / 中信出版社 / 2017-7 / 128.00

      "
8.6,"

    牧羊少年奇幻之旅


    

  ",牧羊少年圣地亚哥接连两次做了同一个梦，梦见埃及金字塔附近藏有一批宝藏。少年卖掉羊群，历尽千辛万苦一路向南，跨海来到非洲，穿越“死亡之海”撒哈拉大沙漠……期间... ,"
        (51863人评价)
    ",https://book.douban.com/subject/3608208/,"
        
  
  [巴西]保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元

      "
7.6,"

    岛上书店


    

  ",岛上书店是间维多利亚风格的小屋，门廊上挂着褪色的招牌，上面写着： 没有谁是一座孤岛，每本书都是一个世界 A．J．费克里，人近中年，在一座与世隔绝的小岛上，经... ,"
        (66996人评价)
    ",https://book.douban.com/subject/26340138/,"
        
  
  [美] 加·泽文 / 孙仲旭、李玉瑶 / 江苏凤凰文艺出版社 / 2015-5 / CNY 35.00

      "
9.0,"

    树上的男爵


    

  ","在大陆，王小波、苏童、阿城、止庵是他的忠实粉丝
在台湾，朱天文，唐诺是卡尔维诺不余遗力的传播者
在香港，梁文道说他一直在准备谈卡尔维诺，可是一直没准备好
权... ","
        (10035人评价)
    ",https://book.douban.com/subject/6789605/,"
        
  
  (意)卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4-1 / 30.00元

      "
9.0,"

    再度觉醒


    

  ","【编辑推荐】
◆奥斯维辛最重要的记录者和见证人，意大利国宝级作家，“欧洲最高尚、最不可或缺的作家之一”，卡尔维诺称其为“我们时代最重要、最富有天赋的作家之一... ","
        (658人评价)
    ",https://book.douban.com/subject/26657740/,"
        
  
  [意] 普里莫·莱维（Primo Levi） / 杨晨光 / 三辉图书/外语教学与研究出版社 / 2016-1 / 39.00元

      "
8.6,"

    一只狼在放哨


    
      ,

  ",阿巴斯不仅是一位备受瞩目电影导演，他的电影被称为“诗意电影”，因为阿巴斯的另外一个身份是一位风格独特的诗人。事实上，他的诗歌写作比其他的艺术行为在时间上要早... ,"
        (141人评价)
    ",https://book.douban.com/subject/27056383/,"
        
  
  [伊朗] 阿巴斯·基阿鲁斯达米 / 黄灿然 / 雅众文化/中信出版社 / 2017-7 / 39.00

      "
8.2,"

    无声告白


    

  ","我们终此一生，就是要摆脱他人的期待，找到真正的自己。
——————————
莉迪亚死了，可他们还不知道。
莉迪亚是家中老二，李先生和李太太的掌上明珠，她遗传... ","
        (41777人评价)
    ",https://book.douban.com/subject/26382433/,"
        
  
  [美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元

      "
9.1,"

    追忆似水年华（上下册）


    

  ",小说以回忆的形式对往事作了回顾，有童年的回忆、家庭生活、初恋与失恋、历史事件的观察、以及对艺术的见解和对时空的认识等等。时间是这部小说的主人公。作者凭着智慧... ,"
        (2347人评价)
    ",https://book.douban.com/subject/1092168/,"
        
  
  [法国] 马塞尔·普鲁斯特 / 李恒基、徐继增、桂裕芳、袁树仁、潘丽珍、许渊冲 / 译林出版社 / 2001-4 / 68.00元

      "
8.7,"

    灿烂千阳


    

  ",私生女玛丽雅姆在父亲的宅院门口苦苦守候，回到家却看到因绝望而上吊自杀的母亲。那天是她十五岁的生日，而童年嘎然而止。玛丽雅姆随后由父亲安排远嫁喀布尔四十多岁的... ,"
        (52055人评价)
    ",https://book.douban.com/subject/2143732/,"
        
  
  [美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元

      "
8.4,"

    瓦尔登湖


    

  ","这本书的思想是崇尚简朴生活，热爱大自然的风光，内容丰厚，意义深远，语言生动，意境深邃，就像是个智慧的老人，闪现哲理灵光，又有高山流水那样的境界。
书中记录了... ","
        (20889人评价)
    ",https://book.douban.com/subject/1865089/,"
        
  
  [美] 梭罗 / 徐迟 / 上海译文出版社 / 2006-8 / 11.00元

      "
9.0,"

    悉达多


    

  ",古印度贵族青年悉达多英俊聪慧，拥有人们羡慕的一切。为了追求心灵的安宁，他孤身一人展开了求道之旅。他在舍卫城聆听佛陀乔答摩宣讲教义，在繁华的大城中结识了名妓伽... ,"
        (12224人评价)
    ",https://book.douban.com/subject/3406401/,"
        
  
  [德] 赫尔曼·黑塞 / 杨玉功 译、丁君君 校 / 上海人民出版社 / 2009-3 / 20.00

      "
8.6,"

    一个陌生女人的来信


    

  ","这是一部短篇小说集，除《一个陌生女人的来信》，亦按时间顺序收录了《火烧火燎的秘密》、《马来狂人》等名篇，作者的创作历程一目了然。
《一个陌生女人的来信》讲述... ","
        (42201人评价)
    ",https://book.douban.com/subject/2154960/,"
        
  
  [奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元

      "
8.6,"

    猎豹


    

  ","恨与爱是一个铜板的两面，一切都始于爱……
一个满身缺点的迷人英雄 × 一个藏身暗处的疯狂猎手
作品全球销量突破2500万册、北欧犯罪小说天王尤•奈斯博《雪人... ","
        (3017人评价)
    ",https://book.douban.com/subject/26892080/,"
        
  
  [挪] 尤·奈斯博 / 林立仁 / 湖南文艺出版社/博集天卷 / 2016-11-1 / 58.00元（全两册）

      "
9.2,"

    昨日的世界


    
      ,

  ",作者以饱满真挚的感情、平实顺畅的文宇叙述了他所认识的特定时期的各种人物，他亲身经历的社会政治事件，他对那个动荡不安的时代的感受，记录了当时欧洲从一战前夜到二... ,"
        (6112人评价)
    ",https://book.douban.com/subject/1062343/,"
        
  
  [奥］斯蒂芬・茨威格 / 舒昌善、孙龙生、刘春华、戴奎生 / 广西师范大学出版社 / 2004-5 / 32.00元

      "
star,title,quote,num,link,article
9.2,"

    百年孤独


    

  ",《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。... ,"
        (112164人评价)
    ",https://book.douban.com/subject/6082808/,"
        
  
  [哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元

      "
8.9,"

    巨人的陨落


    
      ,

  ",在第一次世界大战的硝烟中，每一个迈向死亡的生命都在热烈地生长——威尔士的矿工少年、刚失恋的美国法律系大学生、穷困潦倒的俄国兄弟、富有英俊的英格兰伯爵，以及痴... ,"
        (22669人评价)
    ",https://book.douban.com/subject/26698660/,"
        
  
  [英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元

      "
8.8,"

    追风筝的人


    

  ",12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟... ,"
        (279345人评价)
    ",https://book.douban.com/subject/1770782/,"
        
  
  [美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元

      "
9.3,"

    1984


    

  ","★村上春树以《1Q84》向本书致敬
★著名学者刘绍铭经典译本内地首次出版
★62种文字风靡110个国家，全球销量超过5000万册
★《时代周刊》“最好的10... ","
        (36383人评价)
    ",https://book.douban.com/subject/4820710/,"
        
  
  [英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00

      "
9.2,"

    新名字的故事


    
      ,

  ","只有你身为女人 才会知道这些丑陋的秘密
两个女人 50年的友谊和战争
如何成为那个更强大的她，又不被她战胜
那不勒斯四部曲NO.2
《我的天才女友》后续， ... ","
        (2214人评价)
    ",https://book.douban.com/subject/26986954/,"
        
  
  [意]埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-4 / 59.00元

      "
8.6,"

    雪落香杉树


    

  ","编辑推荐:
1995福克纳奖得主
占据《纽约时报》畅销榜首数月
美国书商协会年度之选
被译成30余种文字，全球畅销500万册
当代美国文学史上罕见的超级畅销... ","
        (599人评价)
    ",https://book.douban.com/subject/5431784/,"
        
  
  [美] 戴维·伽特森 / 熊裕 / 作家出版社 / 2017-6 / 52.00元

      "
8.8,"

    二手时间


    

  ","2015年度诺贝尔文学奖得主阿列克谢耶维奇最具分量的作品
发表后荣获德国书业和平奖（2013）、法国美第契散文奖（2013）、俄罗斯「大书奖」读者票选最佳文... ","
        (4947人评价)
    ",https://book.douban.com/subject/26704403/,"
        
  
  [白俄] S.A.阿列克谢耶维奇 / 吕宁思 / 中信出版社 / 2016-1 / 55.00元

      "
